Year,State,CoC Name,Org Name,Program Name,Program Type,Award Amount
2018,AL,AL-502 - Florence/Northwest Alabama CoC,United Way - Northwest Alabama,CoC,AL-502 - REN - HMIS,38375
2018,AL,"AL-500 - Birmingham/Jefferson, Saint Clair, Shelby Counties CoC",Youth Towers,CoC,AL-500 - NEW - TH/RRH Hybrid,112110
2018,AR,AR-501 - Fayetteville/Northwest Arkansas CoC,,CoC,AR-501 - PLN - NWA Continuum of Care 2018 Planning Grant,33187
2018,AR,AR-503 - Arkansas Balance of State CoC,Bethlehem House,CoC,AR-503 - REN - BH Transitional Housing Combined,199114
2018,AR,AR-500 - Little Rock/Central Arkansas CoC,Better Community Development,CoC,AR-500 - REN - Beyond Shelter 2018 AR0004L6F001609,43890
2018,AR,AR-505 - Southeast Arkansas CoC,Committee Against Spouse Abuse,CoC,AR-505 - REN - transitional housing for victims of domestic violence,20243
2018,AR,AR-501 - Fayetteville/Northwest Arkansas CoC,Community Development Corporation Bentonville/Bella Vista,CoC,AR-501 - REN - Havenwood - PHS Bonus 2018 Renewal,39462
2018,AR,AR-501 - Fayetteville/Northwest Arkansas CoC,"Fayetteville, AR",CoC,AR-501 - REN - Hearth TH - 2018,39519
2018,AR,AR-501 - Fayetteville/Northwest Arkansas CoC,"Fayetteville, AR",CoC,AR-501 - REN - Hearth PSH bonus (1) - 2018,32788
2018,AR,AR-501 - Fayetteville/Northwest Arkansas CoC,"Fayetteville, AR",CoC,AR-501 - REN - Hearth PSH - 2018,175577
2018,AR,AR-501 - Fayetteville/Northwest Arkansas CoC,"Fayetteville, AR",CoC,AR-501 - REN - Hearth PSH bonus (2) - 2018,36092
2018,AR,AR-500 - Little Rock/Central Arkansas CoC,Little Rock Community Mental Health Center,CoC,AR-500 - REN - Arkansas Management Information System,99210
2018,AR,AR-500 - Little Rock/Central Arkansas CoC,Little Rock Community Mental Health Center,CoC,AR-500 - REN - LRCMHC Joseph Project,397978
2018,AR,AR-500 - Little Rock/Central Arkansas CoC,Little Rock Community Mental Health Center,CoC,AR-500 - REN - LRCMHC Portage House Grant Program,35100
2018,AR,AR-500 - Little Rock/Central Arkansas CoC,Little Rock Community Mental Health Center,CoC,AR-500 - REN - LRCMHC Shelter Plus Care Program #43,1133992
2018,AR,AR-500 - Little Rock/Central Arkansas CoC,Little Rock Community Mental Health Center,CoC,AR-500 - REN - LRCMHC Outreach Assessment and Treatment Program,36311
2018,AR,AR-500 - Little Rock/Central Arkansas CoC,Little Rock Community Mental Health Center,CoC,AR-500 - REN - LRCMHC Shelter Plus Care Program #44,980133
2018,AR,AR-500 - Little Rock/Central Arkansas CoC,Little Rock Community Mental Health Center,CoC,AR-500 - REN - LRCMHC Step 2 Project,146411
2018,AR,AR-503 - Arkansas Balance of State CoC,Little Rock Community Mental Health Center,CoC,AR-503 - REN - Arkansas Management Information System Balance of State Expansion,52221
2018,AR,AR-500 - Little Rock/Central Arkansas CoC,"Little Rock, AR",CoC,AR-500 - PLN - AR-500 CoC Planning Application FY2018,65700
2018,AR,AR-503 - Arkansas Balance of State CoC,Ouachita Children's Center,CoC,AR-503 - PLN - AR 503 CoC Planning Application FY 2018,69140
2018,AR,AR-500 - Little Rock/Central Arkansas CoC,Our House - Arkansas,CoC,AR-500 - REN - FY2018 Family Housing Program - Our House,162568
2018,AR,AR-505 - Southeast Arkansas CoC,"Pine Bluff, AR",CoC,AR-505 - REN - City of Pine Bluff Supportive Housing,227699
2018,AR,AR-500 - Little Rock/Central Arkansas CoC,Pulaski County Housing Agency,CoC,AR-500 - REN - PCHA Jericho,41348
2018,AR,AR-503 - Arkansas Balance of State CoC,"West Memphis, AR",CoC,AR-503 - REN - AR0035L6F031809 Shelter Plus Care Renewal Project,35376
2018,AR,AR-503 - Arkansas Balance of State CoC,"West Memphis, AR",CoC,AR-503 - REN - AR-503-New-City of West Memphis Shelter Plus Care #2,21637
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",A New Leaf,CoC,AZ-502 - REN - A New Leaf Transitional Housing & Rapid Rehousing Program,366710
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - Casas Primeras,172722
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - Dreamcatcher RRH,188626
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - Little Colorado Housing Program,82964
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - Mohave County Permanent Housing (Bridging Northern Arizona),201896
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - Permanent Housing Yuma,253651
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - HMIS Project,213140
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - SPC Rural,398441
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - Victory Place Consolidated,146289
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - SPC Yuma and La Paz,447315
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - Northern Sky Consolidated,438496
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - Good Shepherd Support Housing,42636
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - Mohave County PSH 2011 Fresh Start,166701
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - Catholic Charities Skypointe Consolidated,120938
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - Sycamore Canyon Consolidated,328488
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - New Start Housing Project PSH,199573
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - REN - Cochise County RRH,129191
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - NEW - Arizona Veterans In Progress TH-PH/RRH,352371
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - NEW - Coordinated Entry Hotline,28622
2018,AZ,AZ-500 - Arizona Balance of State CoC,Arizona,CoC,AZ-500 - PLN - AZ BOSCOC Planning 2018,116411
2018,AZ,AZ-501 - Tucson/Pima County CoC,Arizona,CoC,AZ-501 - REN - Shelter Plus Care TRA Pima,952528
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Arizona Behavioral Health Corporation,CoC,AZ-502 - REN - PSH 2009,493091
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Arizona Behavioral Health Corporation,CoC,AZ-502 - REN - Another Chance,1328959
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Arizona Behavioral Health Corporation,CoC,AZ-502 - REN - Casa Mia de Paz,1982443
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Arizona Behavioral Health Corporation,CoC,AZ-502 - REN - HUD 6108,1649280
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Arizona Behavioral Health Corporation,CoC,AZ-502 - REN - SPC 151,1736090
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Arizona Behavioral Health Corporation,CoC,AZ-502 - REN - SPC 189,2191496
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Arizona Behavioral Health Corporation,CoC,AZ-502 - REN - SPC 293,3379834
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Arizona Behavioral Health Corporation,CoC,AZ-502 - REN - Village,2044572
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Arizona Behavioral Health Corporation,CoC,AZ-502 - REN - PSH 3109,784391
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Arizona Behavioral Health Corporation,CoC,AZ-502 - REN - Casa de Luz,599527
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Arizona Behavioral Health Corporation,CoC,AZ-502 - REN - PSH 2016,1078226
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Chicanos Por La Causa - Headquarters,CoC,AZ-502 - NEW - De Colores FY2018,269882
2018,AZ,AZ-501 - Tucson/Pima County CoC,CODAC Behavioral Health Services,CoC,AZ-501 - REN - Solitude 2018 Renewal,255816
2018,AZ,AZ-501 - Tucson/Pima County CoC,CODAC Behavioral Health Services,CoC,AZ-501 - REN - Enhanced Supported Housing 2018 Renewal,229449
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Community Bridges,CoC,AZ-502 - REN - CBI PSH 75,1139371
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Community Bridges,CoC,AZ-502 - REN - CBI PSH 37,564413
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Community Bridges,CoC,AZ-502 - REN - CBI PSH 54,845299
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Community Information and Referral Services,CoC,AZ-502 - REN - Maricopa HMIS Project,400921
2018,AZ,AZ-501 - Tucson/Pima County CoC,Community Partnership of Southern Arizona,CoC,AZ-501 - REN - Frontiers,199313
2018,AZ,AZ-501 - Tucson/Pima County CoC,Community Partnership of Southern Arizona,CoC,AZ-501 - REN - Project Bienestar,334774
2018,AZ,AZ-501 - Tucson/Pima County CoC,Community Partnership of Southern Arizona,CoC,AZ-501 - REN - Medical Respite TH-RRH,244854
2018,AZ,AZ-501 - Tucson/Pima County CoC,Community Partnership of Southern Arizona,CoC,AZ-501 - PLN - CoC Planning Project Application FY2018,250049
2018,AZ,AZ-501 - Tucson/Pima County CoC,COPE Community Services,CoC,AZ-501 - REN - LifeWorks Supportive Housing Project FY2018,238201
2018,AZ,AZ-501 - Tucson/Pima County CoC,La Frontera Center,CoC,AZ-501 - REN - Sonora House Safe Haven,433245
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Lodestar Day Resource Center,CoC,AZ-502 - REN - Regional Coordinated Entry MC LDRC,552600
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Maricopa Association of Governments,CoC,AZ-502 - PLN - AZ-502 CoC Planning Application FY2018,760405
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Mesa Housing Authority,CoC,AZ-502 - REN - 2018 Shelter + Care,94280
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Native American Connections,CoC,AZ-502 - REN - Catherine Arms,176892
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Native American Connections,CoC,AZ-502 - REN - Stepping Stones,91043
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Native American Connections,CoC,AZ-502 - REN - Sunrise Circle,35717
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Native American Connections,CoC,AZ-502 - REN - Stepping Stones II,545611
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Native American Connections,CoC,AZ-502 - REN - Camelback Pointe,880523
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Native American Connections,CoC,AZ-502 - REN - Stepping Stones III,361170
2018,AZ,AZ-501 - Tucson/Pima County CoC,Old Pueblo Community Services,CoC,AZ-501 - REN - Oasis Project,196391
2018,AZ,AZ-501 - Tucson/Pima County CoC,Old Pueblo Community Services,CoC,AZ-501 - REN - Old Pueblo My Home Project,81478
2018,AZ,AZ-501 - Tucson/Pima County CoC,Old Pueblo Community Services,CoC,AZ-501 - REN - Agave,64735
2018,AZ,AZ-501 - Tucson/Pima County CoC,Our Family Services,CoC,AZ-501 - REN - Homes First PSH 19-20,214167
2018,AZ,AZ-501 - Tucson/Pima County CoC,Our Family Services,CoC,AZ-501 - REN - Home Again RRH 19-20,459392
2018,AZ,AZ-501 - Tucson/Pima County CoC,Our Family Services,CoC,AZ-501 - REN - Secure Futures RRH for Youth 19-20,247026
2018,AZ,AZ-501 - Tucson/Pima County CoC,Our Family Services,CoC,AZ-501 - NEW - Your Place RRH,60459
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Phoenix Shanti Group,CoC,AZ-502 - REN - Shanti,75038
2018,AZ,AZ-501 - Tucson/Pima County CoC,"Pima County, AZ",CoC,AZ-501 - REN - CASA Renewal Grant FY 2018,443961
2018,AZ,AZ-501 - Tucson/Pima County CoC,"Pima County, AZ",CoC,AZ-501 - REN - La Casita Renewal Grant FY 2018,200199
2018,AZ,AZ-501 - Tucson/Pima County CoC,"Pima County, AZ",CoC,AZ-501 - REN - Project Advent RRH Renewal Grant FY 2018,418241
2018,AZ,AZ-501 - Tucson/Pima County CoC,"Pima County, AZ",CoC,AZ-501 - REN - One-Stop RRH Grant FY 2018,201545
2018,AZ,AZ-501 - Tucson/Pima County CoC,"Pima County, AZ",CoC,AZ-501 - REN - Pima County HMIS,221492
2018,AZ,AZ-501 - Tucson/Pima County CoC,"Pima County, AZ",CoC,AZ-501 - REN - Pima County HMIS Expansion,200000
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Save the Family Foundation of Arizona,CoC,AZ-502 - REN - Homeless Families Intervention Project Rapid Re-housing,222510
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",Save the Family Foundation of Arizona,CoC,AZ-502 - REN - 209 West Jackson-PSH,652456
2018,AZ,AZ-501 - Tucson/Pima County CoC,Southern Arizona AIDS Foundation (SAAF),CoC,AZ-501 - REN - Long Term Housing Savoy,94086
2018,AZ,AZ-501 - Tucson/Pima County CoC,Southern Arizona AIDS Foundation (SAAF),CoC,AZ-501 - REN - POS II,48065
2018,AZ,AZ-501 - Tucson/Pima County CoC,"Tucson, AZ",CoC,AZ-501 - REN - Pathways,129177
2018,AZ,AZ-501 - Tucson/Pima County CoC,"Tucson, AZ",CoC,AZ-501 - REN - Shelter Plus Care Partnership,761300
2018,AZ,AZ-501 - Tucson/Pima County CoC,"Tucson, AZ",CoC,AZ-501 - REN - Shelter Plus Care IV - Operation Safe At Home,682239
2018,AZ,AZ-501 - Tucson/Pima County CoC,"Tucson, AZ",CoC,AZ-501 - REN - Emerge! Center Against Domestic Abuse-Rapid Re-Housing for Survivors of Domestic Abuse,61535
2018,AZ,AZ-501 - Tucson/Pima County CoC,"Tucson, AZ",CoC,AZ-501 - REN - ECHO Permanent Supportive Housing Program,660631
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",UMOM New Day Centers,CoC,AZ-502 - REN - Next Step Housing,743712
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",UMOM New Day Centers,CoC,AZ-502 - REN - Next Step Housing 2 consolidated,417858
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",UMOM New Day Centers,CoC,AZ-502 - REN - Regional Coordinated Entry MC,302558
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",UMOM New Day Centers,CoC,AZ-502 - REN - Next Step Housing 3,226983
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",UMOM New Day Centers,CoC,AZ-502 - REN - PSH for Youth Too,271584
2018,AZ,"AZ-502 - Phoenix, Mesa/Maricopa County CoC",UMOM New Day Centers,CoC,AZ-502 - NEW - Next Step Housing 4,751084
2018,CA,CA-600 - Los Angeles City and County CoC,1736 Family Crisis Center,CoC,CA-600 - REN - CA0485 1736 Family Crisis Center SHP,531763
2018,CA,"CA-602 - Santa Ana, Anaheim/Orange County CoC",1736 Family Crisis Center,CoC,CA-602 - REN - Rapid Re-housing for Homeless Veterans,371609
2018,CA,CA-522 - Humboldt County CoC,2-1-1 Humboldt Information and Resource Center,CoC,CA-522 - REN - CoC Coordinated Entry 2018,31549
2018,CA,"CA-602 - Santa Ana, Anaheim/Orange County CoC",2-1-1 Orange County,CoC,CA-602 - REN - HMIS Consolidated Community Support NOFA 2018,650575
2018,CA,CA-600 - Los Angeles City and County CoC,A Community of Friends,CoC,CA-600 - REN - CA0331-C 39 West Apartments - Consolidated,192130
2018,CA,"CA-500 - San Jose, Santa Clara City and County CoC",Abode Services,CoC,CA-500 - REN - Sunset Leasing Project,265406
2018,CA,"CA-500 - San Jose, Santa Clara City and County CoC",Abode Services,CoC,CA-500 - REN - Mission Rebuild,504265
2018,CA,"CA-502 - Oakland, Berkeley/Alameda County CoC",Abode Services,CoC,CA-502 - REN - STAY Well Housing,829063
2018,CA,"CA-502 - Oakland, Berkeley/Alameda County CoC",Abode Services,CoC,CA-502 - REN - Oakland PATH Re-Housing Initiative,657935
2018,CA,"CA-502 - Oakland, Berkeley/Alameda County CoC",Abode Services,CoC,CA-502 - REN - Impact,1330870
2018,CA,"CA-515 - Roseville, Rocklin/Placer, Nevada Counties CoC",Advocates for Mentally Ill Housing,CoC,CA-515 - REN - AMIH PSH,81427
2018,CA,"CA-502 - Oakland, Berkeley/Alameda County CoC",Alameda County Allied Housing Program,CoC,CA-502 - REN - Carmen Avenue Apartments,36166
